EmployeeID,Age,Department,MaritalStatus,EducationField,DistanceFromHome,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,Gender,StockOptionLevel,PercentSalaryHike,JobRole,Attrition
355,58,Sales,Single,Human Resources,12,7334,14,9,8,15,3,0,3,1,4,1,3,3,Yes,Travel_Rarely,Male,1,12,Sales Executive,No
356,59,Research & Development,Single,Human Resources,4,16713,8,16,14,10,1,4,1,4,1,4,1,3,No,Travel_Rarely,Male,2,22,Research Director,No
357,24,Sales,Married,Life Sciences,21,13633,24,1,3,33,3,5,1,3,2,4,4,4,Yes,Travel_Rarely,Male,0,10,Sales Representative,Yes
358,55,Research & Development,Single,Life Sciences,3,18701,9,5,13,14,5,6,4,1,1,2,1,3,No,Travel_Rarely,Male,2,19,Research Scientist,No
359,21,Human Resources,Married,Life Sciences,23,4640,24,0,7,24,3,3,2,2,3,3,3,3,No,Non-Travel,Male,0,17,HR Manager,Yes
360,49,Sales,Married,Other,26,12818,10,17,14,16,3,0,3,2,4,2,3,4,Yes,Travel_Frequently,Male,1,10,Manager,Yes
361,53,Sales,Divorced,Technical Degree,21,2440,0,12,5,5,1,4,4,3,3,1,3,3,No,Travel_Frequently,Female,1,20,Sales Executive,Yes
362,55,Research & Development,Divorced,Technical Degree,28,8431,0,4,14,3,0,3,1,2,1,2,3,3,No,Travel_Frequently,Female,0,14,Manufacturing Director,Yes
363,27,Research & Development,Married,Human Resources,28,2205,24,7,9,27,1,5,4,2,1,1,2,3,No,Non-Travel,Male,3,22,Research Scientist,Yes
364,55,Human Resources,Married,Technical Degree,2,9972,13,13,10,18,0,0,3,4,1,4,3,3,No,Travel_Rarely,Male,3,23,HR Specialist,No
365,22,Human Resources,Single,Medical,10,16599,9,17,8,18,2,5,2,3,2,3,2,3,No,Travel_Frequently,Male,1,18,HR Specialist,No
366,39,Sales,Married,Technical Degree,23,13844,20,10,6,27,5,3,2,4,3,4,2,3,No,Travel_Rarely,Male,2,19,Manager,No
367,37,Sales,Single,Human Resources,10,7703,15,4,7,19,2,6,1,4,1,1,3,3,No,Travel_Rarely,Female,1,10,Manager,No
368,31,Research & Development,Divorced,Life Sciences,22,9684,16,12,12,18,3,8,1,4,4,3,3,3,No,Travel_Rarely,Male,0,23,Research Scientist,Yes
369,18,Sales,Divorced,Technical Degree,23,8613,17,12,11,18,5,2,1,4,2,3,1,3,Yes,Non-Travel,Male,3,20,Sales Executive,No
370,50,Research & Development,Divorced,Marketing,29,15170,4,11,0,5,4,6,4,3,3,3,4,4,Yes,Travel_Rarely,Male,1,15,Manufacturing Director,No
371,32,Research & Development,Divorced,Life Sciences,10,6791,2,0,10,3,3,1,1,3,3,4,1,3,No,Travel_Frequently,Female,3,11,Laboratory Technician,No
372,45,Sales,Divorced,Medical,11,3653,18,12,12,26,4,8,2,3,3,2,2,3,Yes,Travel_Rarely,Male,0,17,Sales Executive,Yes
373,35,Research & Development,Single,Marketing,1,11121,0,0,11,5,1,4,1,1,2,1,2,4,No,Travel_Rarely,Female,0,23,Laboratory Technician,Yes
374,33,Sales,Divorced,Marketing,9,16939,17,16,7,17,2,6,2,4,2,1,2,4,No,Travel_Frequently,Male,1,22,Manager,No
375,55,Research & Development,Married,Medical,9,10588,3,15,5,12,2,6,1,3,2,2,2,3,No,Travel_Rarely,Male,3,11,Manufacturing Director,No
376,21,Research & Development,Married,Technical Degree,14,5675,6,10,10,7,4,5,2,4,1,1,2,3,No,Non-Travel,Male,1,21,Research Director,Yes
377,48,Research & Development,Married,Marketing,13,2829,17,11,9,23,2,3,3,3,2,1,2,3,No,Travel_Rarely,Female,3,11,Research Scientist,No
378,49,Research & Development,Married,Marketing,25,18991,15,1,5,15,5,6,4,2,4,1,4,3,Yes,Non-Travel,Male,0,15,Laboratory Technician,Yes
379,33,Research & Development,Single,Human Resources,23,15693,19,15,6,24,1,4,2,2,4,2,4,3,No,Travel_Rarely,Female,3,16,Manufacturing Director,No
380,29,Human Resources,Single,Life Sciences,22,4799,15,4,5,20,1,5,3,4,4,1,2,3,No,Travel_Rarely,Female,1,10,HR Manager,No
381,18,Human Resources,Single,Marketing,1,3330,1,4,0,10,4,5,3,3,2,2,2,3,Yes,Travel_Rarely,Male,1,12,HR Manager,Yes
382,57,Research & Development,Married,Life Sciences,14,4324,20,12,0,26,4,4,4,4,2,3,3,3,Yes,Non-Travel,Male,2,23,Research Director,No
383,57,Sales,Divorced,Other,22,8777,5,16,1,9,4,1,4,3,1,2,1,3,No,Travel_Rarely,Male,3,19,Manager,No
384,28,Research & Development,Married,Medical,8,16613,3,8,6,8,1,2,1,3,2,1,2,3,No,Travel_Rarely,Female,3,21,Manufacturing Director,No
385,19,Human Resources,Married,Human Resources,13,4877,21,9,7,27,0,8,3,1,3,3,1,3,Yes,Travel_Rarely,Female,0,18,HR Specialist,No
386,23,Sales,Married,Medical,22,16736,4,9,6,8,1,4,4,1,2,1,3,3,No,Travel_Rarely,Male,2,16,Sales Executive,No
387,20,Research & Development,Married,Medical,24,2034,13,5,14,20,2,5,2,3,3,3,1,4,Yes,Travel_Rarely,Female,1,10,Manufacturing Director,No
388,52,Research & Development,Single,Technical Degree,25,15297,12,10,3,17,2,2,3,1,1,2,4,4,Yes,Travel_Frequently,Male,2,18,Laboratory Technician,Yes
389,55,Sales,Divorced,Human Resources,13,7083,19,17,5,28,5,6,2,1,2,2,2,3,No,Non-Travel,Female,1,21,Sales Executive,No
390,24,Research & Development,Single,Medical,12,19289,1,6,3,2,5,4,2,4,2,1,3,3,Yes,Travel_Rarely,Female,3,13,Research Scientist,No
391,49,Research & Development,Married,Medical,12,10565,2,13,4,9,4,1,1,3,2,2,3,4,No,Travel_Rarely,Male,1,17,Research Director,No
392,25,Research & Development,Married,Other,20,6869,10,13,8,18,0,1,1,1,1,1,2,4,Yes,Travel_Rarely,Male,1,16,Laboratory Technician,No
393,33,Research & Development,Married,Medical,13,6372,11,15,4,18,0,3,3,2,2,3,2,4,No,Travel_Rarely,Male,1,23,Research Director,No
394,43,Research & Development,Divorced,Medical,12,16879,19,13,4,28,2,5,4,2,4,1,2,3,No,Travel_Rarely,Female,2,12,Research Scientist,No
395,48,Research & Development,Single,Human Resources,5,9253,15,16,10,19,3,2,3,1,4,3,4,3,Yes,Non-Travel,Male,3,11,Research Director,Yes
396,54,Sales,Divorced,Life Sciences,14,8336,3,12,12,8,4,2,1,3,2,2,3,3,No,Travel_Rarely,Female,0,13,Manager,No
397,19,Research & Development,Married,Other,7,15242,24,17,3,25,1,2,1,2,2,3,1,3,No,Travel_Rarely,Male,2,12,Laboratory Technician,Yes
398,26,Research & Development,Married,Other,16,11673,11,12,1,14,0,2,3,4,3,3,2,3,Yes,Travel_Frequently,Male,0,22,Manufacturing Director,No
399,29,Research & Development,Married,Other,26,13949,24,15,3,25,1,6,1,1,2,3,2,3,No,Travel_Frequently,Female,2,13,Research Director,No
400,31,Research & Development,Divorced,Medical,23,10020,24,16,8,31,4,4,3,4,3,4,4,3,Yes,Travel_Rarely,Male,2,15,Manufacturing Director,No
401,59,Sales,Divorced,Life Sciences,14,3152,1,17,14,8,5,4,4,1,2,3,4,3,Yes,Travel_Rarely,Female,3,13,Manager,Yes
402,50,Research & Development,Married,Marketing,29,2105,12,10,2,13,5,1,1,4,4,4,2,3,No,Non-Travel,Male,0,22,Research Scientist,Yes
403,31,Sales,Divorced,Marketing,29,2703,10,12,0,18,3,4,3,4,3,2,2,3,Yes,Travel_Rarely,Male,3,19,Sales Executive,Yes
404,58,Sales,Married,Other,13,12340,12,17,7,15,0,8,4,2,4,4,1,3,No,Travel_Frequently,Male,2,17,Sales Executive,No
405,38,Research & Development,Married,Technical Degree,23,11245,7,6,14,14,5,6,2,2,4,2,3,3,No,Travel_Rarely,Male,2,21,Laboratory Technician,Yes
406,39,Sales,Divorced,Other,10,15455,13,2,8,22,0,4,4,1,2,3,1,4,No,Travel_Rarely,Female,2,11,Manager,No
407,36,Sales,Married,Human Resources,26,18103,12,15,13,20,1,2,4,2,2,2,4,3,Yes,Travel_Rarely,Male,2,20,Manager,No
408,24,Sales,Married,Human Resources,11,5141,4,11,9,5,5,3,2,3,1,4,3,3,Yes,Travel_Frequently,Male,0,15,Sales Representative,Yes
409,57,Research & Development,Single,Life Sciences,8,19231,7,7,0,8,3,0,2,3,3,2,1,3,No,Travel_Rarely,Male,3,15,Laboratory Technician,No
410,18,Research & Development,Single,Life Sciences,4,18769,3,12,6,4,1,0,3,1,3,3,4,3,Yes,Travel_Rarely,Female,1,12,Research Director,Yes
411,25,Sales,Divorced,Life Sciences,25,13086,21,0,11,29,3,6,3,1,2,1,4,3,No,Travel_Rarely,Female,0,11,Sales Representative,Yes
412,27,Research & Development,Married,Technical Degree,9,11547,16,8,7,21,0,7,2,3,1,3,2,3,No,Travel_Rarely,Female,2,20,Manufacturing Director,No
413,29,Research & Development,Married,Medical,24,5179,9,4,2,10,1,8,1,3,4,1,1,4,No,Travel_Rarely,Female,3,22,Research Scientist,Yes
414,23,Sales,Single,Other,3,5208,9,5,2,14,5,5,3,4,1,2,2,3,No,Travel_Rarely,Male,2,23,Sales Executive,No
415,18,Sales,Married,Life Sciences,15,2335,1,17,9,6,1,8,1,4,3,1,2,4,Yes,Travel_Rarely,Male,0,13,Manager,Yes
416,46,Research & Development,Divorced,Other,13,13627,7,9,6,12,5,3,1,3,1,2,2,3,Yes,Travel_Rarely,Male,3,21,Manufacturing Director,No
417,58,Research & Development,Divorced,Human Resources,13,9796,23,2,8,29,3,2,1,3,1,2,4,3,No,Travel_Rarely,Male,3,11,Laboratory Technician,No
418,23,Research & Development,Single,Life Sciences,5,5454,0,6,5,1,3,2,2,3,4,2,4,3,No,Travel_Rarely,Female,1,21,Manufacturing Director,No
419,30,Research & Development,Married,Life Sciences,3,4409,3,4,5,6,4,2,1,2,3,2,3,3,No,Non-Travel,Female,2,18,Manufacturing Director,No
420,39,Sales,Married,Marketing,11,3143,21,16,9,28,3,6,2,3,1,1,4,4,Yes,Travel_Rarely,Male,3,22,Sales Executive,No
421,56,Research & Development,Married,Marketing,14,13537,13,5,0,22,0,0,1,1,1,3,1,3,No,Travel_Rarely,Female,0,11,Research Director,No
422,47,Research & Development,Married,Medical,24,14335,0,6,6,2,5,8,2,4,2,4,1,3,Yes,Travel_Rarely,Male,1,21,Manufacturing Director,No
423,50,Sales,Married,Technical Degree,14,13369,12,6,5,17,2,6,4,4,3,2,4,3,No,Travel_Frequently,Female,1,17,Sales Executive,No
424,42,Research & Development,Married,Life Sciences,8,3992,18,3,11,27,3,3,2,2,2,1,3,4,Yes,Travel_Rarely,Male,0,18,Research Scientist,Yes
425,35,Research & Development,Married,Life Sciences,8,2744,8,14,10,14,3,6,3,2,4,1,1,3,No,Travel_Rarely,Female,0,18,Research Director,No
426,26,Research & Development,Married,Human Resources,18,3911,9,10,6,11,3,1,1,2,3,3,4,3,No,Travel_Frequently,Male,2,20,Laboratory Technician,No
427,54,Research & Development,Married,Other,13,15528,15,7,3,20,2,3,1,4,3,4,1,3,No,Travel_Frequently,Female,1,18,Research Scientist,No
428,51,Research & Development,Divorced,Medical,27,15318,14,7,3,14,5,0,4,1,2,4,4,3,No,Travel_Rarely,Female,0,16,Research Scientist,No
429,19,Sales,Married,Other,13,7306,22,12,3,26,1,1,3,2,3,2,4,3,Yes,Travel_Rarely,Male,1,16,Sales Executive,No
430,48,Sales,Married,Marketing,17,2993,6,1,4,11,3,0,1,3,4,2,2,3,No,Travel_Rarely,Male,0,11,Sales Representative,No
431,21,Research & Development,Divorced,Marketing,2,7755,6,16,11,6,3,7,3,3,1,1,3,3,No,Travel_Frequently,Female,2,20,Laboratory Technician,No
432,49,Sales,Divorced,Life Sciences,6,16575,3,10,0,5,3,6,1,2,3,1,3,3,No,Travel_Rarely,Male,1,20,Manager,Yes
433,52,Sales,Single,Marketing,25,4581,16,4,0,25,0,8,1,1,4,4,4,3,No,Travel_Rarely,Male,2,18,Sales Executive,No
434,23,Sales,Married,Marketing,10,16330,13,9,8,19,2,8,2,3,2,2,3,3,No,Travel_Rarely,Male,3,20,Sales Executive,Yes
435,36,Sales,Single,Technical Degree,13,10340,8,15,3,12,0,8,3,3,4,2,2,3,Yes,Travel_Rarely,Female,1,14,Sales Representative,Yes
436,23,Research & Development,Married,Life Sciences,18,4545,17,3,12,19,3,8,3,4,2,2,1,3,No,Travel_Rarely,Female,3,13,Research Director,No
437,41,Research & Development,Single,Medical,2,18810,9,9,11,10,4,0,4,1,1,2,2,4,No,Travel_Rarely,Male,0,23,Manufacturing Director,Yes
438,56,Human Resources,Married,Marketing,15,11330,4,10,11,8,3,7,1,1,4,4,1,3,No,Travel_Rarely,Female,3,24,HR Manager,No
439,21,Sales,Single,Life Sciences,11,14087,13,14,6,18,4,6,1,2,2,4,3,3,No,Travel_Frequently,Male,1,22,Sales Executive,No
440,34,Research & Development,Married,Life Sciences,5,3739,10,10,6,11,2,1,3,3,4,3,2,4,No,Non-Travel,Male,1,10,Laboratory Technician,No
441,58,Research & Development,Divorced,Technical Degree,13,8689,10,13,6,18,1,1,4,1,2,2,3,3,No,Travel_Frequently,Female,3,18,Laboratory Technician,No
442,30,Research & Development,Married,Other,13,13386,11,13,2,15,2,8,3,1,2,3,1,3,No,Travel_Rarely,Male,1,21,Research Scientist,No
443,23,Research & Development,Divorced,Technical Degree,6,13616,22,16,8,22,1,7,3,2,3,2,2,3,No,Travel_Rarely,Male,2,10,Laboratory Technician,No
444,38,Human Resources,Divorced,Life Sciences,16,3132,5,6,12,6,4,2,1,2,2,3,2,3,Yes,Travel_Frequently,Male,3,24,HR Specialist,No
445,39,Research & Development,Divorced,Other,22,12876,6,12,3,14,4,0,4,3,4,1,1,3,No,Travel_Frequently,Female,1,21,Laboratory Technician,No
446,45,Sales,Single,Technical Degree,8,19000,14,4,0,17,2,3,4,1,1,3,4,3,No,Travel_Frequently,Male,1,14,Sales Executive,No
447,31,Sales,Divorced,Human Resources,29,16154,1,15,8,4,4,0,3,4,1,1,3,3,No,Travel_Frequently,Male,1,17,Sales Executive,No
448,58,Research & Development,Single,Medical,18,5739,3,17,5,4,0,6,2,1,1,3,4,3,No,Travel_Rarely,Male,1,23,Research Director,No
449,39,Sales,Married,Technical Degree,23,18426,14,5,11,22,0,3,3,2,2,3,4,4,No,Travel_Rarely,Male,1,22,Sales Executive,No
450,30,Research & Development,Divorced,Life Sciences,3,14292,12,10,12,20,1,0,3,4,1,1,1,3,Yes,Travel_Rarely,Male,0,22,Research Director,Yes
451,58,Research & Development,Married,Technical Degree,23,3025,16,14,14,18,2,8,4,3,2,3,4,4,No,Travel_Frequently,Male,3,24,Manufacturing Director,No
452,56,Research & Development,Married,Medical,10,4309,2,0,5,9,1,7,1,4,1,1,1,3,No,Travel_Frequently,Female,2,21,Research Scientist,No
453,38,Research & Development,Married,Other,21,18582,21,12,13,25,3,8,3,1,4,2,4,4,No,Travel_Frequently,Female,3,24,Laboratory Technician,Yes
454,19,Research & Development,Divorced,Life Sciences,24,5772,12,14,1,13,4,8,3,3,1,1,3,3,Yes,Travel_Frequently,Female,2,24,Manufacturing Director,Yes
455,43,Sales,Married,Technical Degree,8,3741,3,15,5,10,2,0,2,1,4,3,4,4,Yes,Travel_Rarely,Female,1,10,Sales Executive,Yes
456,41,Sales,Married,Life Sciences,8,10117,7,3,3,7,2,6,4,3,4,3,2,3,No,Travel_Rarely,Female,1,19,Sales Executive,No
457,24,Research & Development,Divorced,Human Resources,2,11460,5,13,13,13,0,7,1,2,3,2,1,3,No,Travel_Rarely,Female,3,15,Manufacturing Director,No
458,44,Research & Development,Single,Marketing,18,12315,11,14,9,11,1,7,1,4,4,4,1,3,No,Travel_Rarely,Male,0,17,Research Scientist,No
459,53,Sales,Single,Other,23,13859,11,0,5,14,4,2,4,1,4,3,1,3,No,Travel_Rarely,Female,1,12,Manager,No
460,22,Research & Development,Married,Technical Degree,12,19979,10,12,2,12,4,3,1,4,4,3,4,3,No,Travel_Rarely,Male,2,20,Laboratory Technician,Yes
461,48,Research & Development,Divorced,Marketing,5,15666,11,11,11,13,0,8,2,2,3,1,3,4,No,Travel_Frequently,Male,2,22,Laboratory Technician,No
462,23,Research & Development,Single,Life Sciences,10,2466,22,17,9,26,0,0,2,3,3,3,1,3,No,Travel_Rarely,Male,2,16,Research Scientist,Yes
463,49,Research & Development,Single,Technical Degree,12,3594,23,0,12,30,4,5,3,3,2,3,1,4,No,Travel_Rarely,Male,0,20,Research Director,No
464,35,Research & Development,Single,Marketing,27,2005,12,17,6,15,1,7,1,1,3,4,1,3,Yes,Travel_Frequently,Male,0,14,Research Scientist,Yes
465,18,Sales,Divorced,Life Sciences,4,9114,24,10,2,29,3,7,2,2,2,3,2,3,No,Travel_Rarely,Female,2,21,Manager,No
466,58,Research & Development,Single,Technical Degree,10,8306,20,4,5,29,4,5,4,3,1,1,3,4,Yes,Travel_Rarely,Male,1,11,Laboratory Technician,No
467,24,Sales,Married,Medical,19,18803,20,6,9,24,4,6,2,4,4,3,4,3,No,Travel_Rarely,Male,1,23,Sales Executive,Yes
468,43,Research & Development,Divorced,Medical,7,8590,5,13,3,12,3,8,3,4,3,1,3,3,Yes,Travel_Rarely,Male,3,15,Laboratory Technician,Yes
469,25,Research & Development,Single,Life Sciences,26,2551,10,17,1,13,2,6,4,3,3,2,4,3,Yes,Non-Travel,Female,2,17,Manufacturing Director,Yes
470,57,Sales,Married,Marketing,27,17909,8,5,12,8,4,1,3,2,2,4,2,3,Yes,Travel_Rarely,Male,2,22,Sales Representative,Yes
471,49,Sales,Married,Medical,12,6684,2,17,7,4,4,2,4,2,4,4,2,3,Yes,Travel_Rarely,Male,0,10,Manager,No
472,51,Sales,Divorced,Life Sciences,22,18426,1,11,5,2,5,2,4,2,3,4,3,3,No,Travel_Frequently,Female,2,24,Sales Representative,No
473,36,Research & Development,Married,Marketing,22,15940,15,3,8,24,3,3,3,2,1,2,1,3,No,Travel_Frequently,Female,3,19,Research Director,No
474,37,Research & Development,Married,Medical,20,17849,10,10,11,10,5,3,4,2,4,3,4,3,No,Non-Travel,Male,2,24,Laboratory Technician,No
475,44,Sales,Single,Life Sciences,6,16754,20,14,0,28,4,1,3,4,4,3,4,3,No,Travel_Frequently,Female,3,18,Sales Executive,No
476,50,Research & Development,Married,Marketing,2,4577,16,0,6,17,0,6,4,2,4,1,1,3,No,Travel_Rarely,Male,3,13,Laboratory Technician,No
477,53,Research & Development,Married,Life Sciences,11,13271,2,1,3,3,1,0,3,1,2,4,1,3,No,Non-Travel,Female,3,18,Manufacturing Director,No
478,18,Research & Development,Single,Other,4,9417,20,0,1,25,4,7,2,3,1,4,3,4,No,Travel_Rarely,Male,1,18,Laboratory Technician,Yes
479,45,Human Resources,Married,Marketing,9,13317,12,10,0,12,0,5,3,3,1,1,3,4,Yes,Travel_Frequently,Female,1,23,HR Manager,No
480,22,Sales,Divorced,Other,19,15425,14,1,6,14,4,8,2,2,3,4,1,4,No,Travel_Frequently,Male,1,18,Manager,No
481,30,Sales,Single,Other,18,11017,24,16,8,31,2,0,2,3,4,2,3,3,Yes,Travel_Frequently,Female,3,16,Sales Executive,No
482,52,Research & Development,Single,Other,7,7626,16,2,7,16,1,2,2,4,1,3,2,3,Yes,Travel_Rarely,Male,1,12,Research Scientist,No
483,28,Sales,Married,Technical Degree,1,18493,0,1,11,5,3,8,2,4,3,3,3,3,No,Travel_Rarely,Male,3,14,Sales Executive,No
484,51,Research & Development,Married,Marketing,7,13938,4,4,6,5,5,4,2,4,1,1,2,3,Yes,Non-Travel,Female,3,18,Manufacturing Director,No
485,37,Sales,Single,Human Resources,14,17939,10,13,8,10,5,5,3,3,4,1,2,4,Yes,Travel_Rarely,Female,2,15,Sales Executive,No
486,27,Sales,Married,Life Sciences,23,6268,0,16,12,6,2,0,2,1,1,3,2,3,No,Travel_Rarely,Male,0,15,Sales Executive,Yes
487,32,Sales,Single,Other,11,17088,4,4,9,7,0,6,2,3,4,4,1,3,Yes,Travel_Rarely,Female,2,10,Sales Representative,No
488,40,Research & Development,Married,Medical,9,7821,19,9,13,19,5,2,1,4,1,4,1,4,No,Travel_Rarely,Male,0,24,Laboratory Technician,No
489,50,Sales,Married,Life Sciences,16,10288,3,13,3,9,5,8,2,4,2,2,1,3,No,Travel_Rarely,Male,2,22,Manager,No
490,43,Sales,Married,Medical,3,17487,4,14,11,13,3,3,2,4,3,4,4,3,No,Travel_Rarely,Male,0,13,Sales Representative,No
491,57,Research & Development,Single,Medical,7,8384,12,2,10,17,3,1,4,4,4,2,2,3,No,Travel_Rarely,Male,0,12,Research Director,Yes
492,54,Sales,Divorced,Life Sciences,2,6509,2,15,8,5,3,5,2,3,2,3,2,3,Yes,Travel_Rarely,Female,2,22,Manager,No
493,49,Research & Development,Single,Human Resources,16,18479,6,15,0,14,0,4,1,1,4,2,4,3,No,Travel_Rarely,Male,1,22,Laboratory Technician,No
494,43,Sales,Married,Life Sciences,13,19357,23,13,8,26,0,4,2,2,1,3,4,3,No,Travel_Rarely,Female,2,23,Manager,No
495,30,Research & Development,Married,Other,17,7599,15,9,12,21,0,8,3,2,2,3,1,3,Yes,Travel_Rarely,Male,1,18,Research Director,No
496,35,Sales,Married,Marketing,18,7512,24,7,9,28,5,3,1,4,4,3,2,3,No,Non-Travel,Female,1,21,Sales Representative,No
497,22,Research & Development,Single,Human Resources,12,6098,8,16,0,15,0,3,1,4,2,2,2,3,No,Travel_Frequently,Male,0,20,Research Director,Yes
498,33,Sales,Single,Marketing,26,2423,15,15,4,20,3,5,2,2,3,3,4,3,No,Travel_Rarely,Female,1,13,Sales Executive,Yes
499,56,Research & Development,Married,Life Sciences,27,11951,5,9,8,9,2,1,2,2,2,3,3,3,No,Travel_Rarely,Female,3,17,Research Scientist,No
500,35,Human Resources,Single,Medical,4,6588,9,13,12,13,0,7,2,1,2,2,3,3,Yes,Travel_Rarely,Male,3,13,HR Manager,No
501,22,Sales,Single,Technical Degree,27,17283,4,7,6,6,5,2,1,1,4,3,1,3,No,Travel_Rarely,Male,1,21,Manager,No
502,45,Sales,Married,Human Resources,6,5081,20,13,12,24,0,2,3,2,3,1,2,3,No,Travel_Rarely,Female,0,24,Sales Executive,No
503,58,Sales,Divorced,Medical,8,13434,4,1,11,4,5,0,1,1,3,4,1,3,No,Travel_Rarely,Female,3,11,Manager,No
504,54,Research & Development,Single,Marketing,16,11122,5,16,4,8,4,3,3,2,3,1,3,3,No,Travel_Frequently,Male,2,11,Manufacturing Director,No
505,29,Sales,Divorced,Other,1,13014,11,9,2,11,4,5,3,4,4,4,4,3,Yes,Travel_Rarely,Female,0,13,Sales Representative,No
506,37,Research & Development,Married,Other,11,4028,10,10,13,13,0,6,1,3,2,4,4,3,No,Travel_Rarely,Female,0,11,Research Director,No
507,40,Research & Development,Divorced,Marketing,6,10397,7,3,8,10,5,8,2,3,4,4,2,4,No,Travel_Rarely,Female,0,10,Research Scientist,No
508,28,Research & Development,Married,Medical,14,13268,8,9,12,8,3,7,1,1,3,1,2,4,No,Travel_Rarely,Male,3,24,Laboratory Technician,No
509,29,Research & Development,Married,Medical,24,8136,7,0,13,9,2,2,3,4,4,1,4,4,Yes,Travel_Rarely,Male,3,18,Laboratory Technician,Yes
510,27,Human Resources,Married,Technical Degree,27,17748,22,16,6,28,4,7,2,3,4,1,2,3,No,Travel_Rarely,Female,1,21,HR Manager,No
511,59,Sales,Married,Technical Degree,7,11531,14,13,0,23,2,1,2,3,1,2,4,4,Yes,Non-Travel,Male,0,18,Sales Executive,Yes
512,49,Research & Development,Divorced,Medical,16,8525,22,8,13,28,1,1,1,2,2,4,3,3,No,Travel_Rarely,Male,2,21,Research Scientist,No
513,53,Sales,Single,Life Sciences,14,2554,24,15,8,31,1,3,2,3,2,4,2,3,No,Travel_Frequently,Female,1,20,Manager,Yes
514,52,Human Resources,Single,Marketing,13,5032,16,14,1,22,3,4,2,4,2,3,3,4,No,Travel_Rarely,Male,0,12,HR Specialist,No
515,58,Research & Development,Single,Human Resources,19,10578,20,2,7,29,3,1,1,3,2,4,1,3,Yes,Travel_Frequently,Male,1,12,Laboratory Technician,No
516,22,Research & Development,Divorced,Life Sciences,29,9200,2,0,0,11,1,8,4,2,1,1,2,3,Yes,Non-Travel,Female,1,17,Research Director,No
517,55,Sales,Married,Marketing,12,17687,23,4,4,24,1,2,2,3,4,4,2,3,No,Travel_Rarely,Female,0,15,Manager,No
518,20,Human Resources,Married,Life Sciences,2,16147,12,0,5,16,5,3,1,4,4,2,4,3,No,Travel_Rarely,Female,2,22,HR Specialist,No
519,37,Research & Development,Divorced,Medical,27,4861,17,10,6,26,3,5,3,2,3,3,3,3,Yes,Travel_Rarely,Female,1,14,Research Director,No
520,42,Research & Development,Divorced,Technical Degree,28,12646,6,9,8,14,5,3,2,4,2,4,2,3,No,Travel_Rarely,Male,2,14,Laboratory Technician,No
521,33,Human Resources,Single,Medical,10,10179,2,9,12,7,1,3,2,3,4,3,4,3,Yes,Travel_Rarely,Male,2,17,HR Specialist,Yes
522,24,Research & Development,Married,Medical,15,3820,22,1,5,26,1,8,3,1,2,2,2,3,No,Non-Travel,Male,3,12,Manufacturing Director,Yes
523,26,Research & Development,Divorced,Other,26,13986,11,16,11,11,1,3,1,4,2,3,4,3,No,Non-Travel,Female,3,22,Laboratory Technician,No
524,52,Research & Development,Single,Medical,15,11669,3,17,14,7,3,1,3,3,4,2,3,3,Yes,Travel_Rarely,Male,2,10,Laboratory Technician,Yes
525,31,Sales,Married,Medical,14,3574,16,10,11,21,4,6,1,2,4,3,4,3,No,Travel_Rarely,Male,3,22,Sales Representative,No
526,31,Sales,Married,Other,27,10425,1,0,3,7,3,6,1,1,3,2,4,3,No,Non-Travel,Male,2,19,Sales Executive,No
527,56,Sales,Married,Technical Degree,25,15170,11,7,10,16,1,1,1,4,1,2,2,3,No,Travel_Frequently,Male,0,23,Sales Executive,Yes
528,24,Sales,Married,Life Sciences,15,7888,17,12,4,19,5,7,1,4,1,1,2,3,No,Travel_Rarely,Male,3,14,Sales Executive,Yes
529,56,Research & Development,Single,Marketing,5,8424,18,13,7,27,3,3,2,1,4,2,4,3,No,Travel_Rarely,Female,3,23,Research Director,No
530,56,Research & Development,Single,Technical Degree,13,3982,11,4,9,13,2,1,4,3,2,3,1,3,Yes,Travel_Frequently,Male,1,22,Laboratory Technician,Yes
531,43,Research & Development,Single,Medical,20,5678,9,14,4,12,0,1,4,1,3,4,4,3,No,Travel_Rarely,Female,1,16,Manufacturing Director,No
532,24,Research & Development,Single,Technical Degree,8,19660,20,17,0,25,3,6,1,2,2,1,1,3,No,Non-Travel,Female,3,14,Laboratory Technician,Yes
533,24,Research & Development,Married,Technical Degree,16,13174,4,9,12,6,3,1,4,3,2,1,4,3,Yes,Travel_Rarely,Male,1,12,Research Director,No
534,29,Research & Development,Married,Medical,20,5168,1,6,10,1,5,4,3,1,4,3,3,3,No,Travel_Rarely,Female,1,12,Research Director,No
535,42,Human Resources,Single,Human Resources,3,10689,3,9,1,9,1,6,3,3,3,3,3,3,No,Travel_Rarely,Male,2,18,HR Manager,No
536,24,Human Resources,Married,Marketing,17,5469,20,0,5,22,0,7,4,2,2,1,2,3,Yes,Travel_Rarely,Male,1,24,HR Specialist,Yes
537,37,Research & Development,Married,Other,22,9969,11,9,3,19,5,4,2,3,2,2,3,4,No,Travel_Frequently,Male,1,18,Laboratory Technician,No
